OBJECTID *,OBJECTID,DB,pedon_id,obs_date,x_std,y_std,cl,si,sa,Shape *,Y,X,IAphysregionsv4,IA_slp9m,IA_rel135m,IA_prc63m,TWI30m,IA_DHPFP,Cedar,Nish,DesMoines,Iowa2,Missouri2
1,8728,NASIS,1968IA111001,42593,-91.560641,40.465888,9.4,21.9,68.699997,Point,4480463,622027.3,16,0.254652,0.320007,0.000106,9.152354,1,-91666.57,335616.9,583.0952,-79885.16,355021.8
2,2474,NASIS,Armstrong-IA159-02-01,39713,-94.140831,40.579166,28,52,20,Point,4492667,403444.2,12,6.853465,5.580017,0.004321,6.420812,3,-248050,123759.3,-117840,-192180.3,136095.6
3,2475,NASIS,Armstrong-IA159-02-02,39713,-94.141945,40.578609,25,55,20,Point,4492607,403351.2,12,4.174486,8.73999,0.001332,6.217669,3,-248176.7,123674,-117977.8,-192317.9,135999.5
4,2478,NASIS,Armstrong-IA159-03-02,39713,-94.156944,40.579445,30,65,5,Point,4492718,402082.2,12,3.012414,4.869995,0.000562,6.457303,3,-249282.5,122471.6,-118534.6,-192866.6,134796.5
5,2479,NASIS,Armstrong-IA159-03-03,39713,-94.15583,40.578888,30,65,5,Point,4492655,402175.2,12,3.357667,1.240051,0.000408,6.719676,3,-249187.7,122570.7,-118480.8,-192813.6,134896.4
6,2537,NASIS,Armstrong-IA159-04-02,39711,-94.161941,40.579445,25,55,20,Point,4492721,401659.2,12,7.775109,-0.330017,-0.000645,5.865415,3,-249756.7,121976.1,-118804.5,-193132.3,134296.9
7,2538,NASIS,Armstrong-IA159-04-03,39711,-94.160004,40.578888,28,52,20,Point,4492658,401821.2,12,5.023371,6.789978,0.000838,6.023158,3,-249567,122174.5,-118696.3,-193025.9,134496.7
8,4581,NASIS,1990IA053004,32933,-93.902443,40.581223,29,<Null>,<Null>,Point,4492661,423625.2,12,1.672423,-1.899963,-0.000205,7.88321,4,-228995.2,143793.5,-108486.4,-182375.7,156283.2
9,5457,NASIS,1973IA145013,25862,-95.021128,40.622592,17.200001,64.199997,18.6,Point,4498826,329047.2,13,0.40259,2.799988,0.001617,6.948536,1,-301227.5,49266.62,-159058.3,-234556.3,61600.08
10,5463,NASIS,1989IA173004,41075,-94.590375,40.584117,32,<Null>,<Null>,Point,4493807,365407.2,12,6.129963,6.190002,0.000714,6.361693,3,-277505.9,85997.27,-137663.1,-213763.3,98081.6
11,4962,NASIS,1989IA173001,41073,-94.510711,40.599612,25,<Null>,<Null>,Point,4495409,372178.2,12,0.833098,-0.299988,-0.000182,8.474862,6,-271246.8,92476.21,-132294.5,-208167,104827.5
12,2425,NASIS,Armstrong-IA159-01-01,39710,-94.139999,40.580276,27,48,25,Point,4492790,403516.2,12,11.519318,3.830017,0.000592,6.900906,3,-247923.4,123844.8,-117702.2,-192042.6,136191.8
13,2426,NASIS,Armstrong-IA159-01-02,39710,-94.138886,40.580002,28,51,21,Point,4492760,403612.2,12,7.775506,11.39996,0.001965,7.156766,3,-247828.6,123943.9,-117649.2,-191990.1,136291.8
14,2476,NASIS,Armstrong-IA159-02-03,39713,-94.140831,40.580555,28,67,5,Point,4492823,403447.2,12,6.938142,14.85999,0.002586,7.961161,3,-248018.2,123745.7,-117755.2,-192095.2,136091.9
15,2477,NASIS,Armstrong-IA159-03-01,39713,-94.156944,40.580276,28,67,5,Point,4492808,402082.2,12,4.78438,3.179993,0.000405,6.599992,3,-249250.8,122457.9,-118450.3,-192781.9,134792.8
16,2495,NASIS,Armstrong-IA159-04-01,39711,-94.163887,40.580002,28,52,20,Point,4492787,401494.2,12,6.128841,1.180054,0.001097,7.136764,3,-249819.9,121863.6,-118774.6,-193100.9,134193.2
17,2496,NASIS,Armstrong-IA159-05-01,39711,-94.147499,40.595001,28,47,25,Point,4494434,402904.2,12,4.204075,6.569946,0.001059,6.626592,3,-247957,123030.2,-116587.4,-190916.6,135540.2
18,2539,NASIS,Armstrong-IA159-05-02,39711,-94.145554,40.597221,28,51,21,Point,4494677,403072.2,12,3.765722,12.21002,0.001998,6.181441,3,-247704.6,123204.3,-116311,-190640.9,135735.4
19,2540,NASIS,Armstrong-IA159-05-03,39711,-94.142776,40.597778,30,50,20,Point,4494737,403309.2,12,7.334951,3.330017,0.001984,6.194407,3,-247483.4,123390.1,-116118.9,-190449.9,135933.1
20,2541,NASIS,Armstrong-IA159-06-01,39711,-94.130837,40.599998,30,55,15,Point,4494971,404320.2,12,6.039222,5.650024,0.001748,6.225314,3,-246470.8,124357.2,-115413.7,-189751,136928.6
21,2542,NASIS,Armstrong-IA159-06-02,39711,-94.129997,40.614445,27,53,20,Point,4496573,404413.2,12,1.858636,11.87,0.003237,5.915486,2,-245881.8,124268.6,-114009.9,-188340.5,137005.3
