OBJECTID *,DB,pedon_id,obs_date,x_std,y_std,cl,si,sa,Shape *,IA_slp9m,IA_rel135m,IA_prc63m,TWI30m,VDCN_10m,IA_DHPFP,Cedar,Nish,Iowa,DesMoines,Missouri,IAphysregionsv4,X_100,Y_100
1,NASIS,Armstrong-IA159-02-01,39713,-94.140831,40.579166,28,52,20,Point,6.853465,5.580017,0.004321,6.420812,16.2142,3,-248050,123759.3,-192180.3,-117840,136095.6,12,403415.5,4492674
2,NASIS,Armstrong-IA159-02-02,39713,-94.141945,40.578609,25,55,20,Point,4.174486,8.73999,0.001332,6.217669,17.38364,3,-248176.7,123674,-192317.9,-117977.8,135999.5,12,403315.5,4492574
3,NASIS,Armstrong-IA159-03-02,39713,-94.156944,40.579445,30,65,5,Point,3.012414,4.869995,0.000562,6.457303,11.26917,3,-249282.5,122471.6,-192866.6,-118534.6,134796.5,12,402115.5,4492674
4,NASIS,Armstrong-IA159-03-03,39713,-94.15583,40.578888,30,65,5,Point,3.357667,1.240051,0.000408,6.719676,6.672363,3,-249187.7,122570.7,-192813.6,-118480.8,134896.4,12,402215.5,4492674
5,NASIS,Armstrong-IA159-04-02,39711,-94.161941,40.579445,25,55,20,Point,7.775109,-0.330017,-0.000645,5.865415,22.58209,3,-249756.7,121976.1,-193132.3,-118804.5,134296.9,12,401615.5,4492674
6,NASIS,Armstrong-IA159-04-03,39711,-94.160004,40.578888,28,52,20,Point,5.023371,6.789978,0.000838,6.023158,18.36496,3,-249567,122174.5,-193025.9,-118696.3,134496.7,12,401815.5,4492674
7,NASIS,1973IA145013,25862,-95.021128,40.622592,17.200001,64.199997,18.6,Point,0.40259,2.799988,0.001617,6.948536,3.451416,1,-301227.5,49266.62,-234556.3,-159058.3,61600.08,13,329015.5,4498874
8,NASIS,Armstrong-IA159-01-01,39710,-94.139999,40.580276,27,48,25,Point,11.519318,3.830017,0.000592,6.900906,19.1091,3,-247923.4,123844.8,-192042.6,-117702.2,136191.8,12,403515.5,4492774
9,NASIS,Armstrong-IA159-01-02,39710,-94.138886,40.580002,28,51,21,Point,7.775506,11.39996,0.001965,7.156766,23.54645,3,-247828.6,123943.9,-191990.1,-117649.2,136291.8,12,403615.5,4492774
10,NASIS,Armstrong-IA159-02-03,39713,-94.140831,40.580555,28,67,5,Point,6.938142,14.85999,0.002586,7.961161,27.09921,3,-248018.2,123745.7,-192095.2,-117755.2,136091.9,12,403415.5,4492774
11,NASIS,Armstrong-IA159-03-01,39713,-94.156944,40.580276,28,67,5,Point,4.78438,3.179993,0.000405,6.599992,12.97653,3,-249250.8,122457.9,-192781.9,-118450.3,134792.8,12,402115.5,4492774
12,NASIS,Armstrong-IA159-04-01,39711,-94.163887,40.580002,28,52,20,Point,6.128841,1.180054,0.001097,7.136764,28.58832,3,-249819.9,121863.6,-193100.9,-118774.6,134193.2,12,401515.5,4492774
13,NASIS,Armstrong-IA159-05-01,39711,-94.147499,40.595001,28,47,25,Point,4.204075,6.569946,0.001059,6.626592,16.00824,3,-247957,123030.2,-190916.6,-116587.4,135540.2,12,402915.5,4494474
14,NASIS,Armstrong-IA159-05-02,39711,-94.145554,40.597221,28,51,21,Point,3.765722,12.21002,0.001998,6.181441,24.55093,3,-247704.6,123204.3,-190640.9,-116311,135735.4,12,403115.5,4494674
15,NASIS,Armstrong-IA159-05-03,39711,-94.142776,40.597778,30,50,20,Point,7.334951,3.330017,0.001984,6.194407,17.71619,3,-247483.4,123390.1,-190449.9,-116118.9,135933.1,12,403315.5,4494774
16,NASIS,Armstrong-IA159-06-01,39711,-94.130837,40.599998,30,55,15,Point,6.039222,5.650024,0.001748,6.225314,27.97552,3,-246470.8,124357.2,-189751,-115413.7,136928.6,12,404315.5,4494974
17,NASIS,Armstrong-IA159-06-02,39711,-94.129997,40.614445,27,53,20,Point,1.858636,11.87,0.003237,5.915486,34.24979,2,-245881.8,124268.6,-188340.5,-114009.9,137005.3,12,404415.5,4496574
18,NASIS,Armstrong-IA159-06-03,39711,-94.130837,40.600277,27,53,20,Point,1.744282,8.940002,0.001301,5.418183,29.67404,2,-246470.8,124357.2,-189751,-115413.7,136928.6,12,404315.5,4494974
19,NASIS,1968IA071008,41054,-95.681139,40.637672,15.2,71.099998,13.6,Point,8.111115,-40.91003,-0.002546,5.555274,13.41431,3,-340983.1,-4509.989,-275221.2,-202417.6,6711.93,15,273315.5,4501974
20,NASIS,1986IA173001,31602,-94.568156,40.655217,28.299999,63,8.7,Point,3.517677,2.160034,0.001103,6.266593,12.33612,3,-270999.4,86936.41,-206492.7,-130243,100042,12,367415.5,4501674
21,NASIS,1990IA159005,33095,-94.308861,40.686856,24,46,30,Point,2.556271,-3.320007,-0.000543,8.758224,25.29837,4,-252053,108173.2,-190123.5,-114883.1,122147.5,12,389415.5,4504774
22,NASIS,1968IA071050,43311,-95.722364,40.709967,48.799999,47.400002,3.8,Point,1.940845,-1.549988,0.00081,10.30895,0.776917,2,-338645.8,-10679.42,-273223.9,-200026.7,7990.62,8,270015.5,4510174
23,NCSS,S1961IA071001,3/23/1961,-95.70417,40.673611,13.3,72.4,14.3,Point,22.661445,-49.54999,-0.003456,5.512327,36.81522,3,-339986.8,-7647.875,-274393.6,-201375.3,6708.204,15,271415.5,4506074
24,NASIS,1973IA145009,41072,-95.309089,40.724092,27.700001,67.099998,5.2,Point,0.450108,7.700012,0.000602,8.079554,49.26154,1,-310898.1,24100,-244708.9,-171051,39438.18,14,305015.5,4510674
25,NCSS,S2013IA145001,4/30/2013,-95.131816,40.702746,32.3,65,2.7,Point,4.002113,1.389954,0.000559,7.708197,40.2948,3,-301508.3,39073.78,-235021.4,-160380.1,53300,13,319915.5,4507974
26,NASIS,1989IA173013,30655,-94.687867,40.713317,22,75.5,2.5,Point,2.501709,-0.050049,0.000262,6.927969,9.138519,2,-274807,76528.82,-208105.2,-132021.1,90500,12,357415.5,4508274
27,NASIS,1989IA173014,41081,-94.483556,40.713133,28.4,56.799999,14.8,Point,5.291542,-0.030029,0.000183,6.53444,5.860596,3,-261366.6,93321.48,-196939.9,-120753.7,107693.7,12,374715.5,4507974
28,NASIS,1984IA159002,30862,-94.4532,40.721289,28.700001,68.599998,2.7,Point,0.725796,3.260071,0.000169,9.689615,32.55936,1,-258767.8,95472.98,-194555.1,-118437.9,110363.1,12,377315.5,4508874
29,NASIS,1969IA071001,25483,-95.73745,40.731728,10.8,78.400002,10.8,Point,0.203879,0.040039,0.000118,7.911254,1.161011,6,-338191.6,-12100,-272885.9,-199585.9,9042.677,8,268815.5,4512574
30,NCSS,S1961IA071002,3/23/1961,-95.68,40.737221,22.4,70.8,6.8,Point,8.940404,12.75995,0.000619,6.090994,38.41428,3,-333946.5,-7200,-268534.5,-195327.8,12657.41,15,273715.5,4513074
31,NASIS,1966IA071002,24114,-95.574008,40.754347,21.200001,72.199997,4.7,Point,0.544796,-0.48999,-0.000157,10.18734,3.501862,6,-325786.4,1800,-260205.5,-187175.1,20777.15,14,282715.5,4514674
